Cliente;Grupo_de_Cliente;Country;Proyecto;Producto;SearchName;ProductLine;BusinessUnit;ProductGroupId;Grupo_de_Producto;LINENUM;SALESQTY;SALESPRICE;SALESUNIT;Unidad_Monetaria;Monto;DATE;Sede_de_la_empresa_a_la_que_se_le_pidio_el_producto
C012215;Cliente;USA;PJ-22-1522;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;pcs;USD;0;11/05/2022__10:28:08;Sede1
C011877;Cliente;USA;PJ-22-1133;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;9;1;0;pcs;USD;0;29/04/2022__18:18:52;Sede1
C011880;Cliente;USA;PJ-22-1144;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;pcs;USD;0;12/04/2022__17:27:44;Sede1
C9592;Cliente;USA;PJ-21-3993;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;pcs;USD;0;3/01/2022__12:28:37;Sede1
C016638;Cliente;USA;PJ-23-0958;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;5;1;0;pcs;USD;0;24/05/2023__20:49:35;Sede1
C016633;Cliente;USA;PJ-23-0967;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;3;1;0;pcs;USD;0;25/05/2023__20:12:28;Sede1
C016081;Cliente;USA;PJ-23-0448;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4.5;1;0;pcs;USD;0;10/03/2023__22:04:28;Sede1
C015966;Cliente;USA;PJ-23-0381;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;pcs;USD;0;27/02/2023__19:55:18;Sede1
C015889;Cliente;USA;PJ-23-0299;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;3;1;0;pcs;USD;0;16/02/2023__20:55:33;Sede1
C015788;Cliente;USA;PJ-23-0199;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;3;1;0;pcs;USD;0;10/02/2023__19:36:39;Sede1
C015788;Cliente;USA;PJ-23-0199;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;-1;0;pcs;USD;0;10/02/2023__19:35:51;Sede1
C015788;Cliente;USA;PJ-23-0199;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;pcs;USD;0;9/02/2023__20:00:06;Sede1
C015676;Cliente;USA;PJ-23-0154;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;pcs;USD;0;2/02/2023__19:10:22;Sede1
C010561;Cliente;USA;PJ-22-2324;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;25/07/2022__21:07:35;Sede1
C1437;Cliente;USA;PJ-21-1143;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;10;1;0;SRV;USD;0;18/09/2021__13:54:00;Sede1
C8693;Cliente;USA;PJ-21-1111;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;10;1;0;SRV;USD;0;18/09/2021__13:44:52;Sede1
C8680;Cliente;USA;PJ-21-1087;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;8;1;0;SRV;USD;0;18/09/2021__13:26:18;Sede1
C8664;Cliente;USA;PJ-21-1037;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;8;1;0;SRV;USD;0;18/09/2021__13:25:26;Sede1
C012524;Cliente;USA;PJ-22-1986;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;23/06/2022__20:34:14;Sede1
C012416;Cliente;USA;PJ-22-1857;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;9/06/2022__22:56:10;Sede1
C012360;Cliente;USA;PJ-22-1813;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;7/06/2022__11:55:21;Sede1
C1453;Government;USA;PJ-22-1359;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;28/04/2022__13:19:48;Sede1
C011826;Cliente;USA;PJ-22-1169;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;13/04/2022__16:17:46;Sede1
C011592;Cliente;USA;PJ-22-0896;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;23/03/2022__00:56:30;Sede1
C011522;Cliente;USA;PJ-22-0739;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4.5;1;0;SRV;USD;0;9/03/2022__01:02:30;Sede1
C010554;Cliente;USA;PJ-21-3286;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;2/11/2021__02:24:07;Sede1
C9601;Cliente;USA;PJ-21-2405;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;2/10/2021__16:33:11;Sede1
C9818;Cliente;USA;PJ-21-2333;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;2/10/2021__15:28:57;Sede1
C016449;Cliente;USA;PJ-23-0796;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;5;1;0;SRV;USD;0;3/05/2023__21:02:10;Sede1
C016361;Cliente;USA;PJ-23-0739;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;24/04/2023__17:10:16;Sede1
C016059;Cliente;USA;PJ-23-0432;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;5;1;0;SRV;USD;0;10/03/2023__17:25:15;Sede1
C014269;Cliente;USA;PJ-22-3265;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;22/12/2022__14:36:58;Sede1
C014269;Cliente;USA;PJ-22-3265;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;3;-1;0;SRV;USD;0;22/12/2022__14:34:38;Sede1
C015295;Cliente;USA;PJ-22-4070;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;9/12/2022__15:06:55;Sede1
C015140;Cliente;USA;PJ-22-3931;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;25/11/2022__20:23:29;Sede1
C014269;Cliente;USA;PJ-22-3265;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;2.5;1;0;SRV;USD;0;30/09/2022__20:43:33;Sede1
C013885;Cliente;USA;PJ-22-3041;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;28/09/2022__18:21:54;Sede1
C013885;Cliente;USA;PJ-22-3041;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;-1;0;SRV;USD;0;28/09/2022__18:19:33;Sede1
C014064;Cliente;USA;PJ-22-3110;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;23/09/2022__20:59:06;Sede1
C013885;Cliente;USA;PJ-22-3041;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;21/09/2022__19:24:30;Sede1
C1453;Government;USA;PJ-22-1359;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;9/09/2022__16:17:48;Sede1
C1453;Government;USA;PJ-22-1359;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;-1;0;SRV;USD;0;9/09/2022__16:12:34;Sede1
C013414;Cliente;USA;PJ-22-2677;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;29/08/2022__11:58:27;Sede1
C014822;Cliente;USA;PJ-22-3681;15346;PaddeConcreto;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;6;1;1300;SRV;USD;1300;31/10/2022__12:43:23;Sede1
C012614;Cliente;USA;PJ-22-2014;11733;InstaGene30KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;27/06/2022__15:52:55;Sede1
C014822;Cliente;USA;PJ-22-3681;11733;InstaGene30KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;1800;SRV;USD;1800;31/10/2022__12:43:22;Sede1
C014822;Cliente;USA;PJ-22-3680;11733;InstaGene30KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;1800;SRV;USD;1800;31/10/2022__12:36:34;Sede1
C011563;Cliente;USA;PJ-22-2917;26642;Prueba_de_carga;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;6;1;4500;SRV;USD;4500;27/02/2023__19:32:23;Sede1
C010453;Cliente;USA;NULL;14231;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;2;2;20;pcs;USD;40;1/11/2021__18:16:29;Sede1
C013560;Cliente;USA;NULL;16319;BATTERY;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;1;150;pcs;USD;150;7/09/2022__17:18:27;Sede1
C010439;Cliente;NULL;NULL;13537;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;3;1;25;pcs;USD;25;13/03/2023__12:48:02;Sede1
C016064;Cliente;USA;NULL;13566;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;4;1;20;pcs;USD;20;21/04/2023__12:35:26;Sede1
C010843;Cliente;USA;NULL;12985;FUEL_LEVEL;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;1;75;pcs;USD;75;1/12/2021__14:54:30;Sede1
C010202;Cliente;NULL;NULL;16507;KIT_SINCRONISMO_ABB;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;1;0;pcs;USD;0;1/07/2022__20:22:44;Sede1
C013831;Cliente;USA;NULL;12987;FUEL_LEVEL;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;1;75;pcs;USD;75;20/09/2022__16:20:24;Sede1
C011020;Cliente;USA;NULL;13565;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;3;1;20;pcs;USD;20;13/07/2022__14:48:04;Sede1
C010453;Cliente;USA;NULL;13578;BREAKER_ABB;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;1;380;pcs;USD;380;22/06/2022__19:53:29;Sede1
C010439;Cliente;NULL;NULL;14229;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;1;15;pcs;USD;15;20/10/2021__17:13:13;Sede1
C015846;Cliente;USA;NULL;10772;TIMESWITCH;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;1;25;pcs;USD;25;23/02/2023__16:39:29;Sede1
C011363;Cliente;USA;NULL;11814;SWITCHING_MECHANISM;RMATS;Manufactura;RM-ATS;ROW_MATERIALS;1;1;1900;pcs;USD;1900;16/02/2022__19:45:08;Sede1
C010945;Cliente;USA;NULL;12224;SWITCHING_MECHANISM;RMATS;Manufactura;RM-ATS;ROW_MATERIALS;1;1;650;pcs;USD;650;8/03/2022__17:36:58;Sede1
C010439;Cliente;NULL;NULL;11946;DSE;RMETRNC;Manufactura;RM-ETRONIC;ROW_MATERIALS;2;1;225;pcs;USD;225;13/03/2023__12:45:32;Sede1
C9191;Cliente;NULL;NULL;12303;DSE;RMETRNC;Manufactura;RM-ETRONIC;ROW_MATERIALS;1;1;150;pcs;USD;150;2/09/2021__12:29:42;Sede1
C015616;Cliente;USA;NULL;1021;DSE;RMETRNC;Manufactura;RM-ETRONIC;ROW_MATERIALS;1;1;610;pcs;USD;610;19/01/2023__18:48:20;Sede1
C9632;Cliente;USA;NULL;1020;DSE;RMETRNC;Manufactura;RM-ETRONIC;ROW_MATERIALS;1;1;150;pcs;USD;150;6/03/2023__18:44:22;Sede1
C013044;Cliente;USA;NULL;12916;DSE;RMETRNC;Manufactura;RM-ETRONIC;ROW_MATERIALS;1;1;125;pcs;USD;125;1/08/2022__17:02:55;Sede1
C016064;Cliente;USA;NULL;12941;SMARTGEN;RMETRNC;Manufactura;RM-ETRONIC;ROW_MATERIALS;2;1;100;pcs;USD;100;18/05/2023__14:08:22;Sede1
C012701;Cliente;USA;NULL;1043;Fiber_Glass_Turbo;RMHW;Manufactura;RM-HW;ROW_MATERIALS;1;1;65;Rollo;USD;65;1/07/2022__14:35:41;Sede1
C010795;Cliente;USA;NULL;12995;RainCap212;RMHW;Manufactura;RM-HW;ROW_MATERIALS;1;1;35;pcs;USD;35;13/04/2022__14:52:00;Sede1
C4764;Cliente;USA;PJ-22-0927-03;13542;Radiator_Cover_AMRC;RMHW;Manufactura;RM-HW;ROW_MATERIALS;1;-1;35;pcs;USD;-35;21/11/2022__18:10:51;Sede1
C015846;Cliente;USA;NULL;11238;ALTERNATOR_STAMFORD;RMALT;Manufactura;RM-ALT;ROW_MATERIALS;1;1;2000;pcs;USD;2000;13/02/2023__18:41:25;Sede1
C010843;Cliente;USA;NULL;11251;ALTERNATOR_STAMFORD;RMALT;Manufactura;RM-ALT;ROW_MATERIALS;1;1;2400;pcs;USD;2400;24/08/2022__13:07:16;Sede1
C010102;Cliente;NULL;NULL;11263;ALTERNATOR_STAMFORD;RMALT;Manufactura;RM-ALT;ROW_MATERIALS;1;1;3500;pcs;USD;3500;4/10/2021__17:00:27;Sede1
C011835;Cliente;USA;NULL;12234;ALTERNATOR_STAMFORD;RMALT;Manufactura;RM-ALT;ROW_MATERIALS;1;1;4300;pcs;USD;4300;11/04/2022__15:06:27;Sede1
C4241;Cliente;USA;NULL;17613;FLEETGUARD_AIR_FILTE;SRVPARTS;Venta;SRV-PARTS;SERVICIOS;6;1;64.11;pcs;USD;64.11;24/09/2022__17:22:17;Sede1
C010090;Cliente;USA;NULL;14293;80109134;SRVPARTS;Venta;SRV-PARTS;SERVICIOS;1;2;13.04;pcs;USD;26.08;4/11/2021__19:20:32;Sede1
C9851;Cliente;USA;NULL;14336;AIR_FILTER;SRVPARTS;Venta;SRV-PARTS;SERVICIOS;6;1;274.6;pcs;USD;274.6;30/08/2022__19:58:28;Sede1
C011735;Cliente;USA;NULL;15350;Belt_Perkins;SRVPARTS;Venta;SRV-PARTS;SERVICIOS;1;1;38;pcs;USD;38;7/04/2022__14:36:49;Sede1
C014839;Cliente;USA;PJ-22-3675;20859;InstaGene16KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;31/10/2022__12:30:44;Sede1
C014614;Cliente;USA;PJ-22-3588;11731;InstaGene10KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;22/10/2022__15:23:37;Sede1
C011852;Cliente;USA;PJ-22-1114;14283;ELIMINAR;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;14/04/2022__15:33:30;Sede1
C014269;Cliente;USA;PJ-22-3266-01;15609;Item_de_Post-Ventas;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;51;15;SRV;USD;765;7/12/2022__13:58:36;Sede1
C9632;Cliente;USA;PJ-22-4151;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;pcs;USD;0;28/12/2022__20:56:30;Sede1
C013326;Cliente;USA;PJ-22-2622;11732;InstaGene20KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;23/08/2022__23:08:26;Sede1
C014822;Cliente;USA;PJ-22-3680;15346;PaddeConcreto;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;6;1;1300;SRV;USD;1300;31/10/2022__12:36:35;Sede1
C8610;Cliente;USA;PJ-22-2549;11733;InstaGene30KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;10/10/2022__20:52:47;Sede1
